"target","text"
0,"fs.ftruncate(fd, len, callback)"
0,"fs.futimes(fd, atime, mtime, callback)"
0,"fs.futimesSync(fd, atime, mtime)"
0,"fs.lchmodSync(path, mode)"
0,"fs.link(existingPath, newPath, callback)"
0,"fs.mkdtemp(prefix[, options], callback)"
1,"fs.open(path, flags[, mode], callback)"
1,"fs.openSync(path, flags[, mode])"
1,"fs.read(fd, buffer, offset, length, position, callback)"
1,"fs.readdir(path[, options], callback)"
1,"fs.readdirSync(path[, options])"
1,"fs.readFile(file[, options], callback)"
1,"fs.readFileSync(file[, options])"
1,"fs.readlink(path[, options], callback)"
1,"fs.realpath(path[, options], callback)"
0,"fs.rename(oldPath, newPath, callback)"
0,"fs.renameSync(oldPath, newPath)"
0,"fs.rmdirSync(path)"
0,"fs.stat(path, callback)"
0,"fs.symlinkSync(target, path[, type])"
0,"fs.truncate(path, len, callback)"
0,"fs.unlink(path, callback)"
0,"fs.unwatchFile(filename[, listener])"
0,"fs.utimes(path, atime, mtime, callback)"
0,"fs.watch(filename[, options][, listener])"
2,"fs.write(fd, buffer[, offset[, length[, position]]], callback)"
2,"fs.write(fd, string[, position[, encoding]], callback)"
2,"fs.writeFile(file, data[, options], callback)"
2,"fs.writeFileSync(file, data[, options])"
2,"fs.writeSync(fd, string[, position[, encoding]])"
0,"http.createServer([requestListener])"
1,"http.get(options[, callback])"
0,"http.request(options[, callback])"
2,"agent.createConnection(options[, callback])"
1,"agent.getName(options)"
0,"request.setNoDelay([noDelay])"
0,"request.setSocketKeepAlive([enable][, initialDelay])"
2,"request.write(chunk[, encoding][, callback])"
1,"response.getHeader(name)"
0,"response.removeHeader(name)"
2,"response.writeHead(statusCode[, statusMessage][, headers])"
0,"message.destroy([error])"
2,"message.setTimeout(msecs, callback)"
0,"https.createServer(options[, requestListener])"
1,"https.get(options, callback)"
1,"server.getConnections(callback)"
1,"socket.address()"
0,"socket.connect(options[, connectListener])"
0,"socket.connect(path[, connectListener])"
0,"socket.destroy([exception])"
1,"socket.ref()"
0,"socket.setEncoding([encoding])"
2,"socket.write(data[, encoding][, callback])"
1,"readline.createInterface(options)"
0,"readline.cursorTo(stream, x, y)"
2,"readline.emitKeypressEvents(stream[, interface])"
0,"rl.close()"
0,"rl.pause()"
0,"rl.resume()"
2,"rl.write(data[, key])"
0,"stringDecoder.end([buffer])"
2,"stringDecoder.write(buffer)"
0,"tls.connect(port[, host][, options][, callback])"
0,"tls.connect(path[, options][, callback])"
0,"tls.connect(options[, callback])"
1,"tls.getCiphers()"
1,"server.address()"
0,"server.close([callback])"
0,"server.listen(port[, hostname][, callback])"
1,"tlsSocket.address()"
1,"tlsSocket.getCipher()"
1,"tlsSocket.getEphemeralKeyInfo()"
1,"tlsSocket.getPeerCertificate([ detailed ])"
1,"tlsSocket.getProtocol()"
1,"tlsSocket.getSession()"
1,"tlsSocket.getTLSTicket()"
2,"tlsSocket.setMaxSendFragment(size)"
0,"tty.isatty(fd)"
2,"readStream.setRawMode(mode)"
0,"vm.isContext(sandbox)"
0,"vm.runInContext(code, contextifiedSandbox[, options])"
0,"vm.runInDebugContext(code)"
0,"vm.runInNewContext(code[, sandbox][, options])"
0,"vm.runInThisContext(code[, options])"
0,"new vm.Script(code, options)"
0,"script.runInNewContext([sandbox][, options])"
0,"script.runInThisContext([options])"
0,"zlib.createDeflate([options])"
0,"zlib.createDeflateRaw([options])"
0,"Class: Buffer"
0,"clearImmediate(immediateObject)"
0,"clearInterval(intervalObject)"
0,"clearTimeout(timeoutObject)"
0,"console"
2,"setImmediate(callback[, ...args])"
2,"setInterval(callback, delay[, ...args])"
2,"setTimeout(callback, delay[, ...args])"
0,"process.abort()"
0,"process.chdir(directory)"
0,"process.cpuUsage([previousValue])"
0,"process.cwd()"
0,"process.disconnect()"
0,"process.emitWarning(warning[, name][, ctor])"
0,"process.exit([code])"
1,"process.getegid()"
1,"process.geteuid()"
1,"process.getgid()"
1,"process.getgroups()"
1,"process.getuid()"
0,"process.kill(pid[, signal])"
0,"process.memoryUsage()"
0,"process.nextTick(callback[, ...args])"
0,"process.send(message[, sendHandle[, options]][, callback])"
2,"process.setegid(id)"
2,"process.seteuid(id)"
2,"process.setgid(id)"
2,"process.setgroups(groups)"
2,"process.setuid(id)"
2,"writable.end([chunk][, encoding][, callback])"
2,"writable.setDefaultEncoding(encoding)"
2,"writable.uncork()"
2,"writable.write(chunk[, encoding][, callback])"
1,"readable.isPaused()"
1,"readable.pause()"
1,"readable.pipe(destination[, options])"
1,"readable.read([size])"
1,"readable.resume()"
1,"readable.setEncoding(encoding)"
2,"setImmediate(callback[, ...args])"
2,"setInterval(callback, delay[, ...args])"
0,"clearImmediate(immediate)"
0,"clearInterval(timeout)"
0,"clearTimeout(timeout)"
0,"timeout.unref()"
1,"url.format(urlObject)"
1,"url.parse(urlString[, parseQueryString[, slashesDenoteHost]])"
1,"url.resolve(from, to)"
1,"require('url').domainToAscii(domain)"
1,"url.toString()"
1,"urlSearchParams.append(name, value)"
1,"urlSearchParams.delete(name)"
1,"urlSearchParams.entries()"
1,"urlSearchParams.forEach(fn)"
1,"urlSearchParams.get(name)"
1,"urlSearchParams.getAll(name)"
1,"urlSearchParams.has(name)"
1,"urlSearchParams.keys()"
2,"urlSearchParams.set(name, value)"
1,"urlSearchParams.toString()"
1,"urlSearchParams.values()"
